a/b,fs/threshold,numInp,cnum,bias,svrc,svrp,trnq2,chkq2
a,0.91,1049.0,2.0,2.403,0.5,0.05,0.783,0.603
b,0.91,1049.0,2.0,2.243,1.0,0.05,0.83,0.596
b,0.91,1049.0,2.0,2.014,1.5,0.05,0.863,0.577
b,0.91,1049.0,2.0,1.821,2.0,0.05,0.885,0.554
b,0.91,1049.0,2.0,1.722,2.5,0.05,0.904,0.534
b,0.911,1086.0,2.0,2.847,0.5,0.05,0.838,0.551
b,0.911,1086.0,2.0,2.642,1.0,0.05,0.868,0.537
b,0.911,1086.0,2.0,2.502,1.5,0.05,0.893,0.516
b,0.911,1086.0,2.0,2.197,2.0,0.05,0.911,0.469
b,0.911,1086.0,2.0,2.124,2.5,0.05,0.926,0.431
b,0.912,1111.0,2.0,2.799,0.5,0.05,0.84,0.55
b,0.912,1111.0,2.0,2.579,1.0,0.05,0.871,0.536
b,0.912,1111.0,2.0,2.411,1.5,0.05,0.897,0.515
b,0.912,1111.0,2.0,2.086,2.0,0.05,0.915,0.466
b,0.912,1111.0,2.0,2.009,2.5,0.05,0.931,0.429
b,0.913,1136.0,2.0,2.713,0.5,0.05,0.84,0.554
b,0.913,1136.0,2.0,2.445,1.0,0.05,0.874,0.537
b,0.913,1136.0,2.0,2.201,1.5,0.05,0.903,0.508
b,0.913,1136.0,2.0,1.803,2.0,0.05,0.923,0.452
b,0.913,1136.0,2.0,1.679,2.5,0.05,0.941,0.407
b,0.914,1166.0,2.0,2.779,0.5,0.05,0.84,0.554
b,0.914,1166.0,2.0,2.508,1.0,0.05,0.874,0.536
b,0.914,1166.0,2.0,2.261,1.5,0.05,0.903,0.507
b,0.914,1166.0,2.0,1.858,2.0,0.05,0.923,0.451
b,0.914,1166.0,2.0,1.73,2.5,0.05,0.941,0.406
b,0.915,1191.0,2.0,2.747,0.5,0.05,0.84,0.56
b,0.915,1191.0,2.0,2.481,1.0,0.05,0.875,0.543
b,0.915,1191.0,2.0,2.235,1.5,0.05,0.904,0.515
b,0.915,1191.0,2.0,1.84,2.0,0.05,0.924,0.458
b,0.915,1191.0,2.0,1.713,2.5,0.05,0.942,0.413
